0|0
1|72097
2|511828
3|0
4|5964
5|81034
6|1
7|0
8|13516
9|0
10|0
11|0
12|53919
13|1084
14|18003
15|3385
16|0
17|1397
18|2913
19|0
20|679
21|0
22|0
23|2238514
24|107109
25|0
26|0
27|39255
28|0
29|0
30|0
31|81412
32|916
33|0
34|214
35|1796
36|6621
37|169090
38|27379
39|688
40|694
41|41003
42|29014
43|486
44|16
45|0
46|143572
47|4373
48|0
49|24394
50|302852
51|0
52|72
53|0
54|169546
55|9
56|25
57|633
58|46480
59|46359
60|54814
61|75803
62|149775
63|82453
64|228526
65|95490
66|214901
67|180128
68|122819
69|230669
70|111107
71|175072
72|219112
73|2083
74|179687
75|161952
76|246028
77|245034
78|108840
79|115947
80|176412
81|115284
82|126408
83|127897
84|128627
85|190852
86|53884
87|170641
88|137539
89|102662
90|47311
91|191817
92|171351
93|199617
94|121726
95|179752
96|216830
97|56885
98|156265
99|687291
100|8615
101|34139
102|0
103|32062
104|0
105|3123
106|5396
107|312292
108|653647
109|117818
110|40148
111|48222
112|37950
113|41531
114|38646
115|60009
116|39452
117|44171
118|132641
119|50544
120|48285
121|58400
122|76437
123|22827
124|42132
125|64301
126|742
127|0
128|121234
129|38226
130|89453
131|22659
132|12069
133|40861
134|22130
135|1941
136|3635
137|15663
138|7511
139|13376
140|28782
141|28148
142|29303
143|10116
144|13417
145|5487
146|19705
147|29088
148|37919
149|27579
150|15980
151|23501
152|14908
153|7861
154|5405
155|8277
156|4985
157|16973
158|21418
159|36295
160|15935
161|20337
162|156835
163|18804
164|18284
165|20349
166|27815
167|12839
168|21941
169|5284
170|10690
171|7217
172|186106
173|287416
174|116570
175|51651
176|66368
177|92594
178|193539
179|12991
180|52628
181|56406
182|47060
183|29390
184|701541
185|19787
186|185865
187|58815
188|192946
189|56136
190|297210
191|0
192|163611
193|119571
194|89319
195|130947
196|20840
197|20235
198|175684
199|104961
200|86406
201|96354
202|165889
203|124769
204|96562
205|49166
206|55173
207|117693
208|159829
209|166162
210|95522
211|52456
212|155394
213|160993
214|405
215|7
216|238539
217|196385
218|51054
219|42906
220|42084
221|24180
222|42765
223|15448
224|0
225|0
226|0
227|0
228|0
229|0
230|0
231|0
232|0
233|0
234|0
235|0
236|0
237|0
238|0
239|0
240|0
241|0
242|0
243|0
244|0
245|0
246|0
247|0
248|0
249|0
250|0
251|0
252|0
253|0
254|0
255|0
256|0
